OTU,Sample,Abundance,Sample_Name,PalmID,Especie,Estadio,Age_Group,Procedencia,Habitat,Region,FirstBM,TypeBM_Updated,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_Results_121_122,PCR_Results_duplex_Trangeli,PCR_Results_duplex_Tcruzi,Coinfection,Infection_Type,SingleInf_Tcruzi,Kingdom,Phylum,Class,Order,Family,Genus,Species
352e01b25b13ceaef79c9b32cf7962eb,D2.P2,0.10181818181818182,138,CAM1P17,R. pallescens,N2,N1_N3,Campana,Peridomestic,Capira,Philander,Mammal,Mammal,No,Yes,No,No,Two,Heteromys,NA,NA,NA,Positive,Negative,Negative,No,Tcruzi,Positive,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens
b02a8d33d018119dedb2db15db887bfd,F5.P1,0.7230769230769231,69,CA11P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Other,Other,Other,No,No,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E2.P1,0.5008849557522124,54,CA7P17,R. pallescens,N2,N1_N3,Capira,Pasture,Capira,Mus,Other,Mammal,Yes,Yes,No,No,Three,Human,Other,NA,NA,Positive,Positive,Negative,Yes,Coinfection,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,A5.P1,0.5,5,CC3,R. pallescens,N4,N4_Adult,Cerro Cama,Pasture,La Chorrera,Mus,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C2.P1,0.4668769716088328,28,CA1P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Human,Human,Mammal,Yes,Yes,No,No,Two,Mus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,E5.P1,0.4602649006622517,57,CA7P17,R. pallescens,N5,N4_Adult,Capira,Pasture,Capira,Bos,Mammal,Mammal,Yes,Yes,No,No,Three,Mus,Human,NA,NA,Positive,Negative,Positive,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G5.P1,0.4585987261146497,81,HN7,R. pallescens,Adult,N4_Adult,La Chorrera,Peridomestic,La Chorrera,Mus,Mammal,Mammal,Yes,Yes,No,No,Three,Philander,Human,NA,NA,Positive,Positive,Positive,Yes,Coinfection,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,D2.P1,0.4264705882352941,40,CA3P17,R. pallescens,N1,N1_N3,Capira,Pasture,Capira,Mus,Reptile,Mix,No,Yes,No,Yes,Two,Mabuya,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,F3.P1,0.424,67,CA11P17,R. pallescens,N4,N4_Adult,Capira,Pasture,Capira,Human,Human,Mammal,Yes,Yes,No,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,G9.P1,0.4236453201970443,85,HN2,R. pallescens,N1,N1_N3,La Chorrera,Peridomestic,La Chorrera,Human,Human,Mammal,Yes,Yes,No,No,Two,Mus,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,H2.P1,0.4135188866799205,90,HN5,R. pallescens,N2,N1_N3,La Chorrera,Peridomestic,La Chorrera,Piranga,Bird,Bird,No,No,Yes,No,One,NA,NA,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,B7.P1,0.4105691056910569,21,CA1P17,R. pallescens,N3,N1_N3,Capira,Pasture,Capira,Metachirus,Mammal,Mammal,Yes,Yes,No,No,Three,Human,Mus,NA,NA,Positive,Negative,Negative,No,Tcruzi,Positive,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
b02a8d33d018119dedb2db15db887bfd,C9.P1,0.4104803493449782,35,CA3P17,R. pallescens,N3,N1_N3,Capira,Pasture,Capira,Human,Mammal,Mammal,Yes,Yes,No,No,Three,Philander,Mus,NA,NA,Negative,Negative,Negative,No,Negative,Negative,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,acnes
