id,PalmID,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,Habitat,Region,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,TypeBM_Updated,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,faith_pd
A1.P1,CC2,Adult,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Human,Philander,NA,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Positive,No,Tcruzi,11.1150364
A1.P2,CA2P16,Adult,N4_Adult,N3_Adult,NA,Capira,Peridomestic,Capira,Mammal,Yes,Yes,No,No,Two,Mammal,Human,Philander,NA,NA,NA,Positive,Positive,Negative,Negative,May-27-2022,,,Negative,Positive,No,Tcruzi,6.460652399
A1.P3,SF2,Adult,N4_Adult,N3_Adult,Female,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Didelphis,NA,NA,NA,Positive,Positive,REDO,,,,,NA,REDO,NA,Tcruzi,12.57174449
A10.P1,CC3,N3,N1_N3,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mammal,No,Yes,No,No,Three,Mammal,Heteromys,Other,Mus,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,10.94120047
A10.P2,HN9,Adult,N4_Adult,N3_Adult,TBD,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,One,Human,Human,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,6.633812069
A10.P3,SF4,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Leopardus,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,8.973277318
A10.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Didelphis,Human,NA,NA,Positive,Negative,Positive,,,,,NA,Positive,Yes,Coinfection,7.534348872
A11.P1,CC3,N2,N1_N3,N1_N2,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Three,Human,Human,Mus,NA,NA,NA,Positive,Positive,Positive,Negative,May-6-2022,Negative,May-25-2022,Single,Positive,Yes,Coinfection,7.043719848
A11.P2,HN9,N5,N4_Adult,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Human,Philander,Mus,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.58843251
A11.P3,SF4,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,9.946935736
A11.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Human,Heteromys,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Tcruzi,6.899334327
A12.P1,CC3,N2,N1_N3,N1_N2,NA,Cerro Cama,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mus,Mus,Bos,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,7.528713451
A12.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,8.55131392
A12.P3,SF9,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Four,Mammal,Heteromys,Human,Didelphis,Thraupis,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,11.73260217
A12.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Heteromys,Human,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,9.536693076
A2.P1,CC2,Adult,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Bird,No,No,Yes,No,One,Bird,Piranga,NA,NA,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Positive,No,Tcruzi,7.358662749
A2.P2,HN3,Adult,N4_Adult,N3_Adult,TBD,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Philander,Human,Mus,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,6.289576136
A2.P3,SF3,N5,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,9.395972089
A2.P4,SF15,Adult,N4_Adult,N3_Adult,Female,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Five,Mammal,Heteromys,Mus,Human,Metachirus,Didelphis,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,9.293781064
A3.P1,CC2,N3,N1_N3,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mix,Yes,Yes,Yes,No,Three,Bird,Human,Piranga,Other,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.117225942
A3.P2,HN3,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Four,Reptile,Human,Procyon,Bos,Mus,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.293707172
A3.P3,SF3,N5,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mix,No,Yes,Yes,No,Three,Mammal,Heteromys,Metachirus,Piranga,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,10.09781058
A3.P4,SF15,Adult,N4_Adult,N3_Adult,Female,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Human,Bos,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.753437232
