#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
B6.P1	20	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Positive	No	Negative
B7.P1	21	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	Yes	Yes	No	No	Three	Human	Mus	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Negative	No	Tcruzi
B8.P1	22	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	Yes	No	No	No	Three	Human	Metachirus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B12.P1	26	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Piranga	Mix	Yes	Yes	Yes	No	Four	Metachirus	Human	Mus	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C11.P1	37	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D1.P1	39	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	Two	Bos	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D3.P1	41	CA3P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D4.P1	42	CA3P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D5.P1	43	CA3P17	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022	Negative	May-25-2022		Single	Negative	No	Trangeli
D6.P1	44	CA3P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D8.P1	48	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
