#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
A2.P1	2	CC2	R. pallescens	Adult	N4_Adult	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Piranga	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Positive	No	Tcruzi
A4.P1	4	CC3	R. pallescens	N5	N4_Adult	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Heteromys	Mix	Yes	Yes	Yes	No	Three	Piranga	Human	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A8.P1	8	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Other	Other	No	No	No	No	Three	Piranga	Thraupis	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A9.P1	9	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Thraupis	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A10.P1	10	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Heteromys	Mammal	No	Yes	No	No	Three	Other	Mus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B3.P1	15	CC3	R. pallescens	N1	N1_N3	N1_N2	NA	Cerro Cama	Pasture	La Chorrera	Canis	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022				Single	Positive	No	Trangeli
F10.P1	74	LP1	R. pallescens	N3	N1_N3	N3_Adult	NA	Las Pavas	Peridomestic	La Chorrera	Other	Other	Yes	No	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F11.P1	75	LP2_Capira0217	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Las Pavas	Peridomestic	La Chorrera	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive	Positive	May-6-2022	Positive	May-27-2022		Single	Positive	Yes	Coinfection
F12.P1	76	LP2_Capira0217	R. pallescens	N3	N1_N3	N3_Adult	NA	Las Pavas	Peridomestic	La Chorrera	Piranga	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022	Negative	May-27-2022		Single	Negative	No	Trangeli
G2.P1	78	LP3_Capira0317	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Las Pavas	Peridomestic	La Chorrera	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive	Negative	May-6-2022				Negative	Positive	Yes	Coinfection
