#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
A2.P1	2	CC2	R. pallescens	Adult	N4_Adult	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Piranga	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Positive	No	Tcruzi
A4.P1	4	CC3	R. pallescens	N5	N4_Adult	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Heteromys	Mix	Yes	Yes	Yes	No	Three	Piranga	Human	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A8.P1	8	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Other	Other	No	No	No	No	Three	Piranga	Thraupis	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A9.P1	9	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Thraupis	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
A10.P1	10	CC3	R. pallescens	N3	N1_N3	N3_Adult	NA	Cerro Cama	Pasture	La Chorrera	Heteromys	Mammal	No	Yes	No	No	Three	Other	Mus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B3.P1	15	CC3	R. pallescens	N1	N1_N3	N1_N2	NA	Cerro Cama	Pasture	La Chorrera	Canis	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022				Single	Positive	No	Trangeli
B6.P1	20	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Positive	No	Negative
B7.P1	21	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	Yes	Yes	No	No	Three	Human	Mus	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Negative	No	Tcruzi
B8.P1	22	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	Yes	No	No	No	Three	Human	Metachirus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B12.P1	26	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Piranga	Mix	Yes	Yes	Yes	No	Four	Metachirus	Human	Mus	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
