#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
F10.P1	74	LP1	R. pallescens	N3	N1_N3	N3_Adult	NA	Las Pavas	Peridomestic	La Chorrera	Other	Other	Yes	No	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
F11.P1	75	LP2_Capira0217	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Las Pavas	Peridomestic	La Chorrera	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive	Positive	May-6-2022	Positive	May-27-2022		Single	Positive	Yes	Coinfection
F12.P1	76	LP2_Capira0217	R. pallescens	N3	N1_N3	N3_Adult	NA	Las Pavas	Peridomestic	La Chorrera	Piranga	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022	Negative	May-27-2022		Single	Negative	No	Trangeli
G2.P1	78	LP3_Capira0317	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Las Pavas	Peridomestic	La Chorrera	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive	Negative	May-6-2022				Negative	Positive	Yes	Coinfection
G3.P1	79	HN1	R. pallescens	N1	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Philander	Mammal	Yes	Yes	No	No	Three	Human	Mus	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
G8.P1	84	HN11	R. pallescens	N2	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Piranga	Mix	No	Yes	Yes	No	Four	Other	Mus	Philander	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
G10.P1	86	HN2	R. pallescens	N1	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Other	Other	No	No	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
H1.P1	89	HN5	R. pallescens	N2	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Piranga	Mix	Yes	Yes	Yes	No	Two	Human	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
H2.P1	90	HN5	R. pallescens	N2	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Piranga	Bird	No	No	Yes	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
H3.P1	91	HN5	R. pallescens	N2	N1_N3	N1_N2	NA	La Chorrera	Peridomestic	La Chorrera	Leopardus	Mix	No	Yes	Yes	No	Two	Piranga	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
