#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
H10.P2	200	SF1	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Thraupis	Mix	Yes	Yes	Yes	No	Two	Philander	NA	NA	NA		Positive	Positive	Positive						Single	Negative	Yes	Coinfection
H11.P2	201	SF1	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Philander	Mammal	No	Yes	No	No	Two	Procyon	NA	NA	NA		Positive	Positive	Positive						Negative	Positive	Yes	Coinfection
H12.P2	202	SF1	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Philander	Mammal	Yes	Yes	No	No	Three	Human	Mus	NA	NA		Positive	Positive	Negative						Negative	Negative	No	Tcruzi
C10.P3	266	SF10	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Didelphis	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
C11.P3	267	SF10	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Other	NA	NA		Positive	Positive	Positive						NA	Negative	Yes	Coinfection
C12.P3	268	SF10	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Forest	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Four	Thraupis	Piranga	Didelphis	NA		Positive	Positive	Positive						NA	Negative	Yes	Coinfection
C2.P3	259	SF10	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Thraupis	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
C3.P3	260	SF10	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Forest	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
C4.P3	261	SF10	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Veraguas	Forest	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Didelphis	Thraupis	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
C5.P3	262	SF10	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Coinfection
C6.P3	263	SF10	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Didelphis	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
C7.P3	264	SF10	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Didelphis	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
C8.P3	264.5	SF10	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Didelphis	Human	NA	NA		Negative	Negative	Positive						NA	Negative	No	Trangeli
C9.P3	265	SF10	R. pallescens	N4	N4_Adult	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	No	Yes	No	No	Two	Didelphis	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
G10.P3	395	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Didelphis	Thraupis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
G11.P3	396	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Human	Didelphis	NA	NA		Negative	Negative	Negative						NA	Positive	No	Negative
G12.P3	397	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
G3.P3	382	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Negative	Negative	NA						NA	NA	NA	Negative
G4.P3	383	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
G5.P3	384	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
G6.P3	385	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
G7.P3	389	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	No	Yes	No	No	Three	Didelphis	Metachirus	NA	NA		Positive	Positive	Negative						NA	Negative	No	Tcruzi
G8.P3	391	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
G9.P3	393	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Didelphis	Thraupis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H1.P3	398	SF11	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Philander	NA	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Tcruzi
H2.P3	399	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Mus	Didelphis	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H3.P3	400	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Human	Didelphis	Bos	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H4.P3	401	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	No	Yes	No	No	Three	Didelphis	Other	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H6.P3	403	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Four	Other	Human	Didelphis	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H7.P3	405	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	No	Yes	No	No	Three	Mus	Didelphis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
H8.P3	406	SF11	R. pallescens	N1	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mammal	No	Yes	No	No	Three	Bos	Didelphis	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
D1.P3	293	SF12	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Philander	NA	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
D10.P3	302	SF12	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
D11.P3	303	SF12	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
D12.P3	304	SF12	R. pallescens	N2	N1_N3	N1_N2	NA	Veraguas	Peridomestic	Veraguas	Heteromys	Mix	No	Yes	Yes	No	Three	Didelphis	Piranga	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
D2.P3	294	SF12	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Coinfection
D3.P3	295	SF12	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
D4.P3	296	SF12	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Coinfection
D5.P3	297	SF12	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	NA						NA	NA	NA	Tcruzi
D6.P3	298	SF12	R. pallescens	N5	N4_Adult	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Positive						NA	Negative	Yes	Coinfection
D7.P3	299	SF12	R. pallescens	N4	N4_Adult	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Coinfection
D8.P3	300	SF12	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
D9.P3	301	SF12	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Peridomestic	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Heteromys	Human	NA	NA		Positive	Positive	Negative						NA	Positive	No	Tcruzi
H9.P3	407	SF14	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Veraguas	Forest	Veraguas	Didelphis	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Negative	Negative	Negative						NA	Negative	No	Negative
A10.P4	420	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Heteromys	Mammal	Yes	Yes	No	No	Three	Didelphis	Human	NA	NA		Positive	Negative	Positive						NA	Positive	Yes	Coinfection
A11.P4	421	SF15	R. pallescens	N3	N1_N3	N3_Adult	NA	Veraguas	Forest	Veraguas	Didelphis	Mammal	Yes	Yes	No	No	Three	Human	Heteromys	NA	NA		Positive	Positive	Positive						NA	Positive	Yes	Tcruzi
