Sample_Name	HABITAT	Region	AllBM_Order	AllBM_Genus	AllBM_Family	Type
57	Pasture	Capira	Artiodactyla	Bos	Bovidae	Mammal
12	Pasture	La Chorrera	Artiodactyla	Bos	Bovidae	Mammal
29	Pasture	Capira	Artiodactyla	Bos	Bovidae	Mammal
39	Pasture	Capira	Artiodactyla	Bos	Bovidae	Mammal
139	Peridomestic	Capira	Artiodactyla	Bos	Bovidae	Mammal
406	Peridomestic	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
413	Forest	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
368	Pasture	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
103	Peridomestic	La Chorrera	Artiodactyla	Bos	Bovidae	Mammal
131	Peridomestic	La Chorrera	Artiodactyla	Bos	Bovidae	Mammal
419	Forest	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
171	Pasture	La Chorrera	Artiodactyla	Bos	Bovidae	Mammal
359	Pasture	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
400	Peridomestic	Veraguas	Artiodactyla	Bos	Bovidae	Mammal
15	Pasture	La Chorrera	Carnivora	Canis	Canidae	Mammal
142	Peridomestic	Capira	Rodentia	Coendou	Erethizontidae	Mammal
260	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
262	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
407	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
413	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
414	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
415	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
416	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
417	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
418	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
421	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
422	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
408	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
410	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
236	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
237	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
239	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
240	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
241	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
242	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
243	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
348	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
381	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
255	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
256	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
257	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
258	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
293	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
294	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
295	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
296	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
297	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
298	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
299	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
300	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
301	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
302	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
303	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
382	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
383	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
384	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
385	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
391	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
397	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
398	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
261	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
264.5	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
265	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
266	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
420	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
409	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
218	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
222	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
224	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
238	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
244	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
304	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
389	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
393	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
395	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
401	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
263	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
264	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
221	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
235	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
341	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
344	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
396	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
400	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
402	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
405	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
406	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
268	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
423	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
411	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
223	Pasture	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
399	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
403	Peridomestic	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
412	Forest	Veraguas	Didelphimorphia	Didelphis	Didelphidae	Mammal
4	Pasture	La Chorrera	Rodentia	Heteromys	Heteromyidae	Mammal
259	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
261	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
263	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
264	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
264.5	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
265	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
266	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
267	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
268	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
412	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
419	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
420	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
423	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
409	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
411	Forest	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
10	Pasture	La Chorrera	Rodentia	Heteromys	Heteromyidae	Mammal
218	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
219	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
220	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
221	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
222	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
223	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
224	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
225	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
226	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
227	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
228	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
235	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
238	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
244	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
341	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
342	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
343	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
344	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
345	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
346	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
347	Pasture	Veraguas	Rodentia	Heteromys	Heteromyidae	Mammal
