Sample_Name	HABITAT	Region	AllBM_Family	AllBM_Order	AllBM_Genus	Type
12	Pasture	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
29	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
39	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
57	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
103	Peridomestic	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
131	Peridomestic	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
139	Peridomestic	Capira	Bovidae	Artiodactyla	Bos	Mammal
171	Pasture	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
359	Pasture	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
368	Pasture	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
400	Peridomestic	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
406	Peridomestic	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
413	Forest	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
419	Forest	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
15	Pasture	La Chorrera	Canidae	Carnivora	Canis	Mammal
142	Peridomestic	Capira	Erethizontidae	Rodentia	Coendou	Mammal
218	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
221	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
222	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
223	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
224	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
235	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
236	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
237	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
238	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
239	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
240	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
241	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
242	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
243	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
244	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
255	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
256	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
257	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
258	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
260	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
261	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
262	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
263	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
264	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
264.5	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
265	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
266	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
268	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
293	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
294	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
295	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
296	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
297	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
298	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
299	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
300	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
301	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
302	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
303	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
304	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
341	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
344	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
348	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
381	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
382	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
383	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
384	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
385	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
389	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
391	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
393	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
395	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
396	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
397	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
398	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
399	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
400	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
401	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
402	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
403	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
405	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
406	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
407	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
408	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
409	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
410	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
411	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
