PalmID,#SampleID,Sample_Name,ESPECIE,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,HABITAT,Region,FirstBM,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,SecondBM,ThirdBM,FourthBM,FifthBM,TotalBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,Consensus_R1R2_Results,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,Location...2,Town,Sampling Dates,Stipe Height (m),Total Height (m),DOM,Lianas,Epiphytes,Surrounding Canopy Cover,# Connected Trees,Fruiting,Fruiting Sex,Photo?,Habitat_Microhabitat,Method,Location...17
CHOR1P1,F10.P2,171,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Four,Other,Human,Bos,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G6.P2,179,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Human,Mammal,Yes,Yes,No,No,Three,Mus,Philander,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G7.P2,180,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Other,Mammal,No,Yes,No,No,Two,Mus,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,F11.P2,172,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Other,Mammal,No,Yes,No,No,Two,Philander,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,F12.P2,173,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Other,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G1.P2,174,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mus,Mix,No,Yes,Yes,No,Four,Thraupis,Other,Philander,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G2.P2,175,R. pallescens,Adult,N4_Adult,N3_Adult,TBD,La Chorrera,Pasture,La Chorrera,Mus,Mix,No,Yes,Yes,No,Four,Thraupis,Other,Philander,NA,NA,Positive,Positive,Positive,NA,NA,NA,NA,NA,Negative,Positive,Yes,Coinfection,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G3.P2,176,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G4.P2,177,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mus,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P1,G5.P2,178,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Other,Other,No,No,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,NA,NA,5%,0,N,NA,yes,Pasture,Noireau,La Chorrera
