PalmID,Location,Town,Sampling Dates,Stipe Height (m),Total Height (m),DOM,Lianas ,Epiphytes,Surrounding Canopy Cover,# Connected Trees,Fruiting,Fruiting Sex,Photo?,Habitat_Microhabitat,Method,Location 
CHOR1P1,N 08 50.769 W 079 56.250,La Chorrera,24-27 June  2017,3.256,4.8,1,,,5%,0,N,,yes,Pasture,Noireau ,La Chorrera
CHOR1P2,N 08 50.762 W 079 56.262,La Chorrera,24-27 June  2017,3.468,4.45,3,1,>10,1%,0,y,F,yes,Pasture,Noireau ,La Chorrera
CHOR1P3,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,,,20%,2,y,M,yes,Pasture,Noireau ,La Chorrera
CHOR1P4,N 08 50.755 W 079 56.261,La Chorrera,24-27 June  2017,2.606,3.21,2,2,4,0,0,N,NA,yes,Pasture,Noireau ,La Chorrera
CHOR1P5,N 08 50.721 W 079 56.276,La Chorrera,24-27 June  2017,4.636,4.8,2,0,>10,0,0,N,NA,yes,Pasture,Noireau ,La Chorrera
CHOR1P6,N 08 50.712 W 079 56.284,La Chorrera,24-27 June  2017,3.236,3.8,1,2,0,3%,0,N,NA,yes,Pasture,Noireau ,La Chorrera
CHOR1P7,N 08 50.709 W 079 56.273,La Chorrera,24-27 June  2017,4.256,4.35,1,1,0,0,0,N,NA,yes,Pasture,Noireau ,La Chorrera
DHN1,N 08 53.920 W 079 53.434,La Chorrera,24-27 June  2017,2.524,4.69,4,11,0,0,0,y,F + M,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN2,N 08 53.901 W 079 53.440,La Chorrera,24-27 June  2017,1.846,5.25,4,0,1,24%,1 (A. butyracea),y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN3,N 08 53.922 W 079 53.415,La Chorrera,24-27 June  2017,0,5.397,4,3,0,0,0,N,NA,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN4,N 08 53.933 W 079 53.402,La Chorrera,24-27 June  2017,0,3.67,3,1,0,0,0,y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN5,N 08 53.918 W 079 53.397,La Chorrera,24-27 June  2017,4.278,4.856,2,0,0,0,0,y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN6,N 08 53.937 W 079 53.382,La Chorrera,24-27 June  2017,2.621,4.4,1,,0,0,0,y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN7,N 08 53.940 W 079 53.391,La Chorrera,24-27 June  2017,3.196,4.74,1,1,0,0,0,y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN8,N 08 53.944 W 079 53.406,La Chorrera,24-27 June  2017,1.956,4.29,1,1,0,4%,1,y,F,yes,Peridomestic,Noireau ,Hacienda Nicole
DHN9,N 08 53.947 W 079 53.409,La Chorrera,24-27 June  2017,0,3.871,3,2,0,10%,0,N,NA,yes,Peridomestic,Noireau ,Hacienda Nicole
CAM1,N 08 42.678 W 079 54.111,Campana,2 -8 Jul 2017,2.521,6.7,1,1,0,90%,3,N,NA,yes,Peridomestic cerca Forest,Noireau ,Campana
CAM2,N 08 42.656 W 079 54.154,Campana,2 -8 Jul 2017,4.03,5.62,4,1,0,50%,4,N,NA,yes,Peridomestic cerca Forest,Noireau ,Campana
CAM3,N 08 42.553 W 079 54.221,Campana,2 -8 Jul 2017,4.447,5.267,3,0,0,10%,1,y,F,yes,Peridomestic cerca Forest,Noireau ,Campana
SF1,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
