#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	Age_Group	New_Age_Group	SEXO	PROCEDENCIA	HABITAT	Region	FirstBM	TypeBM	HumanBM	MammalBM	BirdBM	ReptileBM	NumberBM	SecondBM	ThirdBM	FourthBM	FifthBM	TotalBM	PCR_RESULTS_121_122	SingleInf_Tcruzi	PCR_RESULTS_duplex_Trangeli	R1_R2_Results_1stRun	R1_R2_GelDate_1stRun	R1_R2_Results_2ndRun	R1_R2_GelDate_2ndRun	Consensus_R1R2_Results	SingleInf_Trangeli	PCR_RESULTS_duplex_Tcruzi	Coinfection	Infection_Type
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical				categorical	categorical	categorical	categorical
A1.P2	45	CA2P16	R. pallescens	Adult	N4_Adult	N3_Adult	NA	Capira	Peridomestic	Capira	Human	Mammal	Yes	Yes	No	No	Two	Philander	NA	NA	NA		Positive	Positive	Negative	Negative	May-27-2022				Negative	Positive	No	Tcruzi
B10.P1	24	CA1P17	R. pallescens	Adult	N4_Adult	N3_Adult	Female	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	Two	Other	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B11.P1	25	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Mus	NA	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Positive	No	Tcruzi
B12.P1	26	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Piranga	Mix	Yes	Yes	Yes	No	Four	Metachirus	Human	Mus	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B4.P1	18	CA1P17	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Positive	No	Negative
B5.P1	19	CA1P17	R. pallescens	N4	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Three	Human	Metachirus	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Positive	No	Tcruzi
B6.P1	20	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Positive	No	Negative
B7.P1	21	CA1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Metachirus	Mammal	Yes	Yes	No	No	Three	Human	Mus	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Negative	No	Tcruzi
B8.P1	22	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	Yes	No	No	No	Three	Human	Metachirus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
B9.P1	23	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C1.P1	27	CA1P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C10.P1	36	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Three	Mus	Other	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C11.P1	37	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C12.P1	38	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C12.P2	136	CAM1P17	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Positive						Negative	Negative	Yes	Coinfection
C2.P1	28	CA1P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C3.P1	29	CA1P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Bos	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C4.P1	30	CA1P17	R. pallescens	N5	N4_Adult	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C5.P1	31	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative	Negative	May-25-2022				Negative	Positive	No	Tcruzi
C6.P1	32	CA1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Four	Human	Metachirus	Philander	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C7.P1	33	CA1P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Two	Human	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C8.P1	34	CA3P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	Yes	Yes	No	No	Three	Philander	Human	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
C9.P1	35	CA3P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Human	Mammal	Yes	Yes	No	No	Three	Philander	Mus	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D1.P1	39	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	Two	Bos	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D1.P2	137	CAM1P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Positive	Positive	Negative						Negative	Positive	No	Tcruzi
D10.P1	50	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	Three	Other	Philander	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D11.P1	51	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mammal	No	Yes	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D12.P1	52	CA7P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Other	Other	No	No	No	No	Two	Philander	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D2.P1	40	CA3P17	R. pallescens	N1	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Mus	Mix	No	Yes	No	Yes	Two	Mabuya	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D2.P2	138	CAM1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	Two	Heteromys	NA	NA	NA		Positive	Positive	Negative						Negative	Negative	No	Tcruzi
D3.P1	41	CA3P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D3.P2	139	CAM1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Campana	Peridomestic	Capira	Philander	Mammal	Yes	Yes	No	No	Four	Bos	Leopardus	Human	NA		Positive	Positive	Positive						Single	Negative	Yes	Coinfection
D4.P1	42	CA3P17	R. pallescens	N2	N1_N3	N1_N2	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-25-2022				Negative	Negative	No	Negative
D4.P2	140	CAM1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative						Single	Positive	No	Negative
D5.P1	43	CA3P17	R. pallescens	Adult	N4_Adult	N3_Adult	Male	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Positive	Negative	May-6-2022	Negative	May-25-2022		Single	Negative	No	Trangeli
D5.P2	141	CAM1P17	R. pallescens	N2	N1_N3	N1_N2	NA	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	Two	Mus	NA	NA	NA		Negative	Negative	Positive						Single	Negative	No	Trangeli
D6.P1	44	CA3P17	R. pallescens	N3	N1_N3	N3_Adult	NA	Capira	Pasture	Capira	Philander	Mammal	No	Yes	No	No	One	NA	NA	NA	NA		Negative	Negative	Negative	Negative	May-27-2022				Negative	Negative	No	Negative
D6.P2	142	CAM2P17	R. pallescens	Adult	N4_Adult	N3_Adult	TBD	Campana	Peridomestic	Capira	Philander	Mammal	No	Yes	No	No	Two	Coendou	NA	NA	NA		Positive	Positive	Positive						Negative	Positive	Yes	Coinfection
