#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Canal-Veraguas	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	SingleInf_Tcruzi	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Trangeli	Coinfection	PCR_RESULTS_duplex_Tcruzi	SingleInf_Trangeli	Infection_Type
B2.P4	Lab01	Lab01	R. pallescens	Adult	Male	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3.P4	Lab02	Lab02	R. pallescens	Adult	Male	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4.P4	Lab03	Lab03	R. pallescens	Adult	Male	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B5.P4	Lab04	Lab04	R. pallescens	Adult	Male	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B6.P4	Lab05	Lab05	R. pallescens	Adult	Male	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B7.P4	Lab06	Lab06	R. pallescens	N5	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B8.P4	Lab07	Lab07	R. pallescens	N5	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B9.P4	Lab08	Lab08	R. pallescens	N5	NA	Univ. de Panama	Lab	NA	Mammal	Yes	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Cetartiodactyla;Bovidae;Bos;taurus	NA	NA	NA	NA	NA	NA	NA	NA
B10.P4	Lab09	Lab09	R. pallescens	N5	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Other	NA	NA	NA	NA	NA	NA	NA	NA	NA
B11.P4	Lab10	Lab10	R. pallescens	N5	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
