#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Canal-Veraguas	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	SingleInf_Tcruzi	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Trangeli	Coinfection	PCR_RESULTS_duplex_Tcruzi	SingleInf_Trangeli	Infection_Type
G4.P1	80	HN1	T. dimidiata	N4	NA	La Chorrera	Peridomestic	Canal	Mammal	Yes	Three	Human	Mus	Philander	NA	NA	Single	Positive	Negative	No	Positive	Negative	Tcruzi
H6.P2	192	SF1	T. dimidiata	Adult	Male	Veraguas	Peridomestic	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	NA	NA	NA	NA	Single	Positive	Negative	No	Positive	Negative	Tcruzi
H7.P2	193	SF1	T. dimidiata	Adult	NA	Veraguas	Peridomestic	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	NA	NA	NA	NA	Single	Positive	Negative	No	Positive	Negative	Tcruzi
H8.P2	194	SF1	T. dimidiata	N4	NA	Veraguas	Peridomestic	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	NA	NA	NA	NA	Single	Positive	Negative	No	Positive	Negative	Tcruzi
H9.P2	195	SF1	T. dimidiata	Adult	NA	Veraguas	Peridomestic	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	NA	NA	NA	NA	Single	Positive	Positive	yes	Positive	Single	Coinfection
B10.P3	255	SF9	T. dimidiata	Adult	NA	Veraguas	Pasture	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	Single	Positive	Negative	No	positive	NA	Tcruzi
B11.P3	256	SF9	T. dimidiata	N4	NA	Veraguas	Pasture	Veraguas	Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	Single	Positive	Negative	No	positive	NA	Tcruzi
B12.P3	257	SF9	T. dimidiata	Adult	NA	Veraguas	Pasture	Veraguas	Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	Single	Positive	Negative	No	positive	NA	Tcruzi
C1.P3	258	SF9	T. dimidiata	Adult	NA	Veraguas	Pasture	Veraguas	Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	Single	Positive	Negative	No	positive	NA	Tcruzi
H10.P3	408	SF15	T. dimidiata	Adult	NA	Veraguas	Forest	Veraguas	Mammal_Bird	No	Three	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Aves;Passeriformes;Cardinalidae;Piranga;rubra	NA	NA	Negative	Negative	Negative	No	Negative	NA	Negative
H11.P3	409	SF15	T. dimidiata	Adult	NA	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus	NA	Single	Positive	Negative	No	Negative	NA	Tcruzi
H12.P3	410	SF15	T. dimidiata	N3	NA	Veraguas	Forest	Veraguas	Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	Single	Positive	Negative	No	Negative	NA	Tcruzi
A1.P4	411	SF15	T. dimidiata	N3	NA	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Didelphimorpha;Didelphidae;Metachirus;nudicaudatus	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	Single	Positive	Negative	No	Negative	NA	Tcruzi
