#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Region	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260_280 score	NUMBER	Gut DNA Concentration ng/µL	Date of Salivary DNA extractions	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	16S Sequencing	SingleInf_Tcruzi	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Trangeli	Coinfection	PCR_RESULTS_duplex_Tcruzi	SingleInf_Trangeli	Infection	PCR_To_Redo	Duplex PCR date	121_122 PCR date
H6.P2	H6	Plate-2	192	SF1	T. dimidiata	Adult	Male	Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, flamed tools before guts and salivary tissue	Male	Guts and sailvary glands	5/22/2018	5/24/2018		192			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Single	Positive	Negative	No	Positive	Negative	Tcruzi			
H7.P2	H7	Plate-2	193	SF1	T. dimidiata	Adult		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, flamed tools before guts and salivary tissue	male	Guts and Salivary glands	5/22/2018	5/24/2018		193			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Single	Positive	Negative	No	Positive	Negative	Tcruzi			
H8.P2	H8	Plate-2	194	SF1	T. dimidiata	N4		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Kaylee; guts, salivary tissue; flamed tools before guts and sal tissue, engorged		Guts and sailvary glands	5/22/2018	5/24/2018		194			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Single	Positive	Negative	No	Positive	Negative	Tcruzi			
H9.P2	H9	Plate-2	195	SF1	T. dimidiata	Adult		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Kaylee; engorged, guts, salivary tissue, flamed tools before guts and salivary tissue	male	Guts and sailvary glands	5/22/2018	5/24/2018		195			Mammal	No	One	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum					Yes	Single	Positive	Positive	yes	Positive	Single	Coinfection			
H10.P2	H10	Plate-2	200	SF1	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Nina; Black guts; bead sterilizer before guts and salivary glands		Guts and Salivary Glands	2/23/2018	4/4/2018	2.163	200	264.97		Bird_Mammal	Yes	Two	Aves;Passeriformes;Thraupidae;Thraupis;sayaca	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum				Yes	Single	Positive	Positive	yes	Negative	Single	Coinfection			
H11.P2	H11	Plate-2	201	SF1	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Nina; Bead sterilizer before guts and salivary glands; Eggs (in tube)	Female	Guts and Salivary Glands	2/23/2018	4/4/2018	1.003	201	74.273		Mammal	No	Two	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Carnivora;Procyonidae;Procyon;lotor				Yes	Single	Positive	Positive	yes	Positive	Negative	Coinfection		31 August 2019	
H12.P2	H12	Plate-2	202	SF1	R. pallescens	Adult		Veraguas	Peridomestic	Veraguas	7/8/2017	CV-SIA	Nina; bead sterilizer before guts and salivary glands; engorged; some blood and exoskeleton with salivary glands		Guts and Salivary Glands	2/23/2018	4/4/2018	2.13	202	84.085		Mammal	Yes	Three	Mammalia;Didelphimorpha;Didelphidae;Philander;opossum	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Muridae;Mus;musculus			Yes	Single	Positive	Negative	No	Negative	Negative	Tcruzi			
A1.P3	A1	Plate-3	218	SF2	R. pallescens	Adult	Female	Veraguas	Pasture	Veraguas	7/9/2017		Nina; Bead sterilizer before guts and salivary glands; Eggs recovered, placed in EtOH -20	Female	Guts and Salivary Glands	2/9/2018	4/4/2018	1.938	218	79.395		Mammal	No	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis				Yes	Single	Positive	REDO	N/A	REDO	N/A	Tcruzi	duplex	December 9, 2019	
A2.P3	A2	Plate-3	219	SF3	R. pallescens	N5		Veraguas	Pasture	Veraguas	7/9/2017		Nina; bead sterilizer before guts and salivary glands (not much dissected)		Guts and Salivary Glands	2/8/2018	4/4/2018	2.031	219	22.431		Mammal	Yes	Two	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Primate;Hominidae;Homo;sapiens				Yes	Single	Positive	Negative	No	Positive		Tcruzi			
A3.P3	A3	Plate-3	220	SF3	R. pallescens	N5		Veraguas	Pasture	Veraguas	7/9/2017		Nina; bead sterilizer before guts and salivary glands		Guts and Salivary Glands	2/8/2018	4/4/2018	2.24	220	89.402		Mammal_Bird	No	Three	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Didelphimorpha;Didelphidae;Metachirus;nudicaudatus	Aves;Passeriformes;Cardinalidae;Piranga;rubra			Yes	Single	Positive	Negative	No	Positive		Tcruzi			
