#SampleID	PalmID	ESPECIE	ESTADIO	PROCEDENCIA	HABITAT	Region	TypeBM	HumanBM	NumberBM	SingleInf_Tcruzi	Coinfection
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
A1.P1	CC2	R. pallescens	Adult	Cerro Cama	Pasture	Canal	Mammal	Yes	Two	Single	No
A2.P1	CC2	R. pallescens	Adult	Cerro Cama	Pasture	Canal	Bird	No	One	Single	No
A3.P1	CC2	R. pallescens	N3	Cerro Cama	Pasture	Canal	Mammal_Bird	Yes	Three	Negative	No
A4.P1	CC3	R. pallescens	N5	Cerro Cama	Pasture	Canal	Mammal_Bird	Yes	Three	Negative	No
A5.P1	CC3	R. pallescens	N4	Cerro Cama	Pasture	Canal	Mammal	No	One	Negative	No
A6.P1	CC3	R. pallescens	N5	Cerro Cama	Pasture	Canal	Mammal	Yes	Three	Negative	No
A7.P1	CC3	R. pallescens	N4	Cerro Cama	Pasture	Canal	Mammal	Yes	Two	Negative	No
A8.P1	CC3	R. pallescens	N3	Cerro Cama	Pasture	Canal	Other	No	Three	Negative	No
A9.P1	CC3	R. pallescens	N3	Cerro Cama	Pasture	Canal	Bird	No	One	Negative	No
A10.P1	CC3	R. pallescens	N3	Cerro Cama	Pasture	Canal	Mammal	No	Three	Negative	No
A11.P1	CC3	R. pallescens	N2	Cerro Cama	Pasture	Canal	Mammal	Yes	Three	Single	yes
A12.P1	CC3	R. pallescens	N2	Cerro Cama	Pasture	Canal	Mammal	No	Two	Negative	No
B1.P1	CC3	R. pallescens	N1	Cerro Cama	Pasture	Canal	Mammal	Yes	One	Negative	No
B2.P1	CC3	R. pallescens	N1	Cerro Cama	Pasture	Canal	Mammal_Bird	Yes	Four	Negative	No
B3.P1	CC3	R. pallescens	N1	Cerro Cama	Pasture	Canal	Mammal	Yes	Two	Negative	No
B4.P1	CA1P17	R. pallescens	Adult	Capira	Pasture	Canal	Mammal	Yes	One	Negative	No
B5.P1	CA1P17	R. pallescens	N4	Capira	Pasture	Canal	Mammal	Yes	Three	Single	No
B6.P1	CA1P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	No	One	Negative	No
B7.P1	CA1P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	Yes	Three	Single	No
B8.P1	CA1P17	R. pallescens	N2	Capira	Pasture	Canal	Other	Yes	Three	Negative	No
B9.P1	CA1P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	Yes	One	Negative	No
B10.P1	CA1P17	R. pallescens	Adult	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
B11.P1	CA1P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	Yes	Two	Single	No
B12.P1	CA1P17	R. pallescens	N2	Capira	Pasture	Canal	Bird_Mammal	Yes	Four	Negative	No
C1.P1	CA1P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
C2.P1	CA1P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
C3.P1	CA1P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
C4.P1	CA1P17	R. pallescens	N5	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
C5.P1	CA1P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	No	One	Single	No
C6.P1	CA1P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	Yes	Four	Negative	No
C7.P1	CA1P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
C8.P1	CA3P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	Yes	Three	Negative	No
C9.P1	CA3P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	Yes	Three	Negative	No
C10.P1	CA3P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Three	Negative	No
C11.P1	CA3P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
C12.P1	CA3P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	One	Negative	No
D1.P1	CA3P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
D2.P1	CA3P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal_Reptile	No	Two	Negative	No
D3.P1	CA3P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	No	One	Negative	No
D4.P1	CA3P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	No	One	Negative	No
D5.P1	CA3P17	R. pallescens	Adult	Capira	Pasture	Canal	Mammal	No	One	Negative	No
D6.P1	CA3P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	No	One	Negative	No
A1.P2	CA2P16	R. pallescens	Adult	Capira	Peridomestic	Canal	Mammal	Yes	Two	Single	No
D7.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
D8.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Other	No	Two	Negative	No
D9.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal_Bird	Yes	Four	Negative	No
D10.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	Three	Negative	No
D11.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
D12.P1	CA7P17	R. pallescens	N1	Capira	Pasture	Canal	Other	No	Two	Negative	No
E1.P1	CA7P17	R. pallescens	N2	Capira	Pasture	Canal	Other	Yes	Three	Negative	No
E2.P1	CA7P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	Yes	Three	Single	yes
E3.P1	CA7P17	R. pallescens	N2	Capira	Pasture	Canal	Other	No	One	Negative	No
E4.P1	CA7P17	R. pallescens	N2	Capira	Pasture	Canal	Mammal	Yes	Three	Negative	No
E5.P1	CA7P17	R. pallescens	N5	Capira	Pasture	Canal	Mammal	Yes	Three	Single	No
E6.P1	CA7P17	R. pallescens	N5	Capira	Pasture	Canal	Mammal	Yes	Two	Single	No
E7.P1	CA7P17	R. pallescens	N5	Capira	Pasture	Canal	Mammal	No	One	Single	No
E8.P1	CA8P17	R. pallescens	N4	Capira	Pasture	Canal	Other	No	One	Negative	No
E9.P1	CA8P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Four	Negative	No
E10.P1	CA8P17	R. pallescens	N2	Capira	Pasture	Canal	Other	No	One	Negative	No
E11.P1	CA9P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	No	One	Negative	No
E12.P1	CA9P17	R. pallescens	N3	Capira	Pasture	Canal	Other_Mammal_Bird	No	Three	Negative	No
F1.P1	CA9P17	R. pallescens	N3	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
F2.P1	CA9P17	R. pallescens	N5	Capira	Pasture	Canal	Mammal	No	Two	Negative	No
F3.P1	CA11P17	R. pallescens	N4	Capira	Pasture	Canal	Mammal	Yes	One	Negative	No
F4.P1	CA11P17	R. pallescens	N2	Capira	Pasture	Canal	Other	No	One	Negative	No
F5.P1	CA11P17	R. pallescens	N2	Capira	Pasture	Canal	Other	No	One	Negative	No
F6.P1	CA11P17	R. pallescens	N1	Capira	Pasture	Canal	Other	No	One	Negative	No
F7.P1	CA11P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Four	Negative	No
F8.P1	CA11P17	R. pallescens	N1	Capira	Pasture	Canal	Other	Yes	Three	Negative	No
F9.P1	CA11P17	R. pallescens	N1	Capira	Pasture	Canal	Mammal	Yes	Two	Negative	No
F10.P1	Las Pavas	R. pallescens	N3	Las Pavas	Peridomestic	Canal	Other	Yes	Two	Negative	No
F11.P1	LP#2, Capira0217	R. pallescens	Adult	Las Pavas	Peridomestic	Canal	Mammal	No	One	Single	yes
F12.P1	LP#2, Capira0217	R. pallescens	N3	Las Pavas	Peridomestic	Canal	Bird	No	One	Negative	No
G1.P1	LP#3, Capira0317	R. pallescens	N3	Las Pavas	Peridomestic	Canal	Mammal	Yes	Three	Negative	No
G2.P1	LP#3, Capira0317	R. pallescens	Adult	Las Pavas	Peridomestic	Canal	Mammal	No	One	Single	yes
G3.P1	HN1	R. pallescens	N1	La Chorrera	Peridomestic	Canal	Mammal	Yes	Three	Negative	No
G4.P1	HN1	T. dimidiata	N4	La Chorrera	Peridomestic	Canal	Mammal	Yes	Three	Single	No
G5.P1	HN7	R. pallescens	Adult	La Chorrera	Peridomestic	Canal	Mammal	Yes	Three	Single	yes
G6.P1	HN10	R. pallescens	N2	La Chorrera	Peridomestic	Canal	Mammal	No	Two	Negative	No
G7.P1	HN11	R. pallescens	Adult	La Chorrera	Peridomestic	Canal	Mammal	No	One	Single	No
G8.P1	HN11	R. pallescens	N2	La Chorrera	Peridomestic	Canal	Bird_Mammal	No	Four	Negative	No
G9.P1	HN2	R. pallescens	N1	La Chorrera	Peridomestic	Canal	Mammal	Yes	Two	Negative	No
G10.P1	HN2	R. pallescens	N1	La Chorrera	Peridomestic	Canal	Other	No	One	Negative	No
G11.P1	HN2	R. pallescens	N2	La Chorrera	Peridomestic	Canal	Mammal	No	Two	Negative	No
