#SampleID	Well_ID	Sequencing_PlateNumber	Sample_Name	CODIGO-CV	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	DATE	Type of Molecular Analysis	Notes	sex	Dissections	Date of dissections	Date of Gut DNA extractions	Gut DNA 260/280 score	NUMBER	Gut DNA Concentration (ng/µL)	Date of Salivary DNA extractions	16S Sequencing	PCR_RESULTS_(121/122)	PCR_RESULTS_(duplex_Trangeli)	SingleInf_Tcruzi	SingleInf_Trangeli	Coinfection	PCR_RESULTS_(duplex_Tcruzi)	PCR_To_Redo
A1.P1	A1	Plate-1	1	CC2	R. pallescens	Adult		Cerro Cama	Pasture	9/2/2017		Not sterile bewteen guts and salivary		Guts and salivary glands		3/7/2018	1.564	1	136.144		Yes	Positive	Negative	Single	Negative	No	Positive	
A2.P1	A2	Plate-1	2	CC2	R. pallescens	Adult		Cerro Cama	Pasture	9/2/2017		Kaylee; eggs (not collected); autoclaved before guts, bead sterilizer before salivary glands		Guts and salivary glands	1/20/2018	3/7/2018	2.074	2	199.811	6/12/2018	Yes	Positive	Negative	Single	Negative	No	Positive	
A3.P1	A3	Plate-1	3	CC2	R. pallescens	N3		Cerro Cama	Pasture	9/2/2017		Kaylee; 		Guts and salivary glands	11/1/2017	3/7/2018	1.851	3	29.876		Yes	Negative	Negative	Negative	Negative	No	Negative	
A4.P1	A4	Plate-1	4	CC3	R. pallescens	N5		Cerro Cama	Pasture	9/2/2017		Kaylee		Guts and salivary glands	11/1/2017	3/7/2018	1.935	4	19.277		Yes	Negative	Negative	Negative	Negative	No	Negative	
A5.P1	A5	Plate-1	5	CC3	R. pallescens	N4		Cerro Cama	Pasture	9/2/2017		Kaylee; bead sterilizer before guts and salivary glands; engorged		Guts and salivary glands	1/20/2018	3/22/2018	2.165	5	161.814	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
A6.P1	A6	Plate-1	6	CC3	R. pallescens	N5		Cerro Cama	Pasture	9/2/2017		Kaylee; bead sterilizer before guts and salivary glands		Guts and salivary glands	1/20/2018	3/22/2018	1.435	6	192.629		Yes	Negative	Negative	Negative	Negative	No	Negative	
A7.P1	A7	Plate-1	7	CC3	R. pallescens	N4		Cerro Cama	Pasture	9/2/2017		Kaylee; bead sterilizer before guts and salivary glands		Guts and salivary glands	1/20/2018	3/22/2018	1.658	7	12.771	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
A8.P1	A8	Plate-1	8	CC3	R. pallescens	N3		Cerro Cama	Pasture	9/2/2017		Kaylee; bead sterilizer before guts; could not dissect salivary glands		Guts only	1/20/2018	3/22/2018	6.664	8	14.668		Yes	Negative	Negative	Negative	Negative	No	Negative	
A9.P1	A9	Plate-1	9	CC3	R. pallescens	N3		Cerro Cama	Pasture	9/2/2017		Kaylee; bead sterilizer before guts; some blood		Guts only	2/20/2018	3/26/2018	1.79	9	50.297		Yes	Negative	Negative	Negative	Negative	No	Negative	
A10.P1	A10	Plate-1	10	CC3	R. pallescens	N3		Cerro Cama	Pasture	9/2/2017		Kaylee		Guts		3/26/2018	1.67	10	32.206		Yes	Negative	Negative	Negative	Negative	No	Negative	
A11.P1	A11	Plate-1	11	CC3	R. pallescens	N2		Cerro Cama	Pasture	9/2/2017		Kaylee; little salivary tissue; bead sterilizer before guts and salivary glands		Guts and salivary glands	2/2/2018	3/26/2018	1.756	11	11.733	6/12/2018	Yes	Positive	Positive	Negative	Negative	Yes	Positive	
A12.P1	A12	Plate-1	12	CC3	R. pallescens	N2		Cerro Cama	Pasture	9/2/2017		Kaylee; little salivary tissuel autoclaved tools before guts and bead sterilizer before salivary glands		Guts and salivary glands	2/21/2018	3/26/2018	1.491	12	44.517	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
B1.P1	B1	Plate-1	13	CC3	R. pallescens	N1		Cerro Cama	Pasture	9/2/2017		Kaylee; exoskelteton with salivary tissue; bead sterilizer before guts and salivary glands		Guts and salivary glands	2/21/2018	3/28/2018	1.519	13	5.781	6/12/2018	Yes	Negative	Negative	Negative	Negative	No	Negative	
