Observed,Chao1,se.chao1,Shannon,Simpson,InvSimpson,Sample,Region,Age_Group,PalmID,ESPECIE,PROCEDENCIA,HABITAT,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,SingleInf_Tcruzi
56,56,-0,2.320673921719036,0.7472659746311114,3.9567288121985484,1,La Chorrera,N4_Adult,CC2,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Philander,NA,NA,NA,Positive
33,33,-0,1.3980205825644958,0.4575207960672487,1.8433886363761245,45,Capira,N4_Adult,CA2P16,R. pallescens,Capira,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Philander,NA,NA,NA,Positive
52,53,2.3290616784204734,2.254784770476452,0.7806936691786093,4.559831885630462,218,Veraguas,N4_Adult,SF2,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Didelphis,NA,NA,NA,Positive
39,39,-0,1.652473828803268,0.5274178227967641,2.116034095737694,10,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,No,Yes,No,No,Three,Heteromys,Other,Mus,NA,NA,Negative
34,34,-0,1.60595282937134,0.5415010175938568,2.181029922361288,110,La Chorrera,N4_Adult,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Positive
51,51,-0,1.9352378691539984,0.617530635401333,2.614588494033557,227,Veraguas,N1_N3,SF4,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Leopardus,NA,NA,NA,Positive
44,44,-0,2.3221105656867094,0.718310724684351,3.5500109078680495,420,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Didelphis,Human,NA,NA,Negative
33,33,-0,1.5204184614002454,0.5175345037699715,2.0726870787941754,11,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,Three,Human,Mus,NA,NA,NA,Positive
34,34,-0,1.4367726948658173,0.4830147222950094,1.9342910584208823,111,La Chorrera,N4_Adult,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Human,Philander,Mus,NA,NA,Positive
46,46,-0,1.7347396307522736,0.5435584289596609,2.1908609194398343,228,Veraguas,N1_N3,SF4,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
35,35,-0,2.0908134459206207,0.7170313734300127,3.533960680099169,421,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Human,Heteromys,NA,NA,Positive
28,28,-0,1.335530475835478,0.45450762323248584,1.8332061869055127,12,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,No,Yes,No,No,Two,Mus,Bos,NA,NA,NA,Negative
28,28,-0,2.2382953178713154,0.8746989336313047,7.980778049067229,112,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Positive
43,43,-0,1.8682174147098096,0.6812339156601901,3.1370966019521176,235,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Didelphis,Thraupis,NA,Positive
40,40,-0,2.307353091763714,0.7440040387249824,3.906311627024834,422,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Negative
39,39,-0,1.9451631514276482,0.6378609253023919,2.7613700643461794,2,La Chorrera,N4_Adult,CC2,R. pallescens,Cerro Cama,Pasture,Bird,No,No,Yes,No,One,Piranga,NA,NA,NA,NA,Positive
40,40,-0,1.7169801558830489,0.5476038406697843,2.210452010645992,102,La Chorrera,N4_Adult,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Philander,Human,Mus,NA,NA,Positive
43,43,-0,1.6709421748597757,0.5305461617764489,2.1301348899054178,219,Veraguas,N4_Adult,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
48,48,-0,2.5489797009904467,0.7877589332562693,4.71162351067263,412,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Five,Heteromys,Mus,Human,Metachirus,Didelphis,Positive
37,37,-0,1.9110719023391654,0.6131673773360489,2.585097381687788,3,La Chorrera,N1_N3,CC2,R. pallescens,Cerro Cama,Pasture,Mix,Yes,Yes,Yes,No,Three,Human,Piranga,Other,NA,NA,Negative
32,32,-0,1.3606118209416818,0.4506831338937004,1.8204429204736774,103,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Four,Human,Procyon,Bos,Mus,NA,Negative
46,46,-0,2.1797854068919444,0.6749560928528817,3.0765074441078193,220,Veraguas,N4_Adult,SF3,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Three,Heteromys,Metachirus,Piranga,NA,NA,Positive
33,33,-0,1.981013037085474,0.7427540057023252,3.8873297239483544,413,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Human,Bos,NA,NA,Negative
39,39,0.12338702919820614,1.9196360305372437,0.6413451903746494,2.788196263266611,4,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mix,Yes,Yes,Yes,No,Three,Heteromys,Piranga,Human,NA,NA,Negative
31,31,-0,1.4421771644366639,0.5087752675386445,2.035728117738188,104,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
45,45,-0,2.1444478520994865,0.6700405996418959,3.030675891987628,221,Veraguas,N1_N3,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Didelphis,Other,NA,Negative
33,33,-0,2.026502878902952,0.7758866491474066,4.46202779172104,414,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Three,Didelphis,Marmosa,Heteromys,NA,NA,Positive
47,47,-0,2.256477507693654,0.7159692067717824,3.5207450172365795,5,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Negative
33,33,-0,1.4370358409058002,0.49159147234339773,1.9669221612180285,105,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Positive
